,date,symbol,consumption
155,11:00:00,Solar,2378.725490196078
156,12:00:00,Solar,2956.392156862745
157,13:00:00,Solar,3148.0
158,14:00:00,Solar,2913.9803921568628
159,15:00:00,Solar,2353.078431372549
160,16:00:00,Solar,1435.2941176470588
161,17:00:00,Solar,507.4901960784314
162,18:00:00,Solar,148.09803921568627
163,19:00:00,Solar,53.15686274509804
164,20:00:00,Solar,0.0
165,21:00:00,Solar,0.0
166,22:00:00,Solar,0.0
167,23:00:00,Solar,0.0
168,00:00:00,Hydraulic,7548.307692307692
169,01:00:00,Hydraulic,6418.865384615385
170,02:00:00,Hydraulic,6169.75
171,03:00:00,Hydraulic,5681.903846153846
172,04:00:00,Hydraulic,5478.7692307692305
173,05:00:00,Hydraulic,5549.423076923077
174,06:00:00,Hydraulic,6014.711538461538
175,07:00:00,Hydraulic,7922.9807692307695
176,08:00:00,Hydraulic,10322.75
177,09:00:00,Hydraulic,10762.807692307691
178,10:00:00,Hydraulic,10739.076923076924
179,11:00:00,Hydraulic,10132.35294117647
180,12:00:00,Hydraulic,9665.35294117647
181,13:00:00,Hydraulic,9305.509803921568
182,14:00:00,Hydraulic,8321.803921568628
183,15:00:00,Hydraulic,8076.509803921569
184,16:00:00,Hydraulic,8362.843137254902
185,17:00:00,Hydraulic,9021.098039215687
186,18:00:00,Hydraulic,11021.490196078432
187,19:00:00,Hydraulic,12987.156862745098
188,20:00:00,Hydraulic,11692.450980392157
189,21:00:00,Hydraulic,9441.392156862745
190,22:00:00,Hydraulic,7817.6274509803925
191,23:00:00,Hydraulic,8679.803921568628
192,00:00:00,Bioenergies,795.4807692307693
193,01:00:00,Bioenergies,796.9423076923077
194,02:00:00,Bioenergies,797.1153846153846
195,03:00:00,Bioenergies,797.6923076923077
196,04:00:00,Bioenergies,797.3269230769231
197,05:00:00,Bioenergies,797.0769230769231
198,06:00:00,Bioenergies,795.3269230769231
199,07:00:00,Bioenergies,795.8461538461538
200,08:00:00,Bioenergies,797.7115384615385
201,09:00:00,Bioenergies,797.7307692307693
202,10:00:00,Bioenergies,796.5961538461538
203,11:00:00,Bioenergies,796.4313725490196
204,12:00:00,Bioenergies,795.3921568627451
205,13:00:00,Bioenergies,795.3529411764706
206,14:00:00,Bioenergies,794.6274509803922
207,15:00:00,Bioenergies,793.3529411764706
208,16:00:00,Bioenergies,792.8235294117648
209,17:00:00,Bioenergies,792.6470588235294
210,18:00:00,Bioenergies,792.7647058823529
211,19:00:00,Bioenergies,792.7058823529412
212,20:00:00,Bioenergies,794.6078431372549
213,21:00:00,Bioenergies,794.3529411764706
214,22:00:00,Bioenergies,794.3921568627451
215,23:00:00,Bioenergies,795.0196078431372
216,00:00:00,Total,70068.42307692306
217,01:00:00,Total,67694.09615384616
218,02:00:00,Total,66997.38461538461
219,03:00:00,Total,65737.32692307692
220,04:00:00,Total,65142.230769230766
221,05:00:00,Total,65430.192307692305
222,06:00:00,Total,66964.38461538461
223,07:00:00,Total,70527.28846153847
224,08:00:00,Total,73803.51923076922
225,09:00:00,Total,75031.75
